Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-12-06,39.8974723815918,72.90091705322266,24.138412475585938,35.9909553527832,97.52424621582031,80.73886108398438,65.55009460449219,42.360164642333984,30.281614303588867,122.8889389038086,97.61870574951172
2021-12-07,40.50589370727539,73.64981842041016,24.703487396240234,36.63414001464844,98.5189208984375,83.55767822265625,65.6941146850586,43.111297607421875,30.507295608520508,124.47301483154297,99.89566802978516
2021-12-08,40.67642593383789,74.18746948242188,24.69917106628418,36.438385009765625,98.76290130615234,83.9403076171875,65.48711395263672,43.29471206665039,30.47632598876953,125.41029357910156,100.14704132080078
2021-12-09,40.45058059692383,73.60179138183594,24.50937843322754,36.36381149291992,98.45323944091797,83.03460693359375,65.66710662841797,42.744468688964844,30.436492919921875,125.70086669921875,98.41154479980469
2021-12-10,40.6994743347168,73.64019012451172,24.690549850463867,36.401100158691406,98.85673522949219,84.7007064819336,66.77415466308594,42.96282196044922,30.6002254486084,126.14139556884766,99.09800720214844
2021-12-13,40.4552001953125,73.25614929199219,24.00469207763672,36.00959396362305,97.83391571044922,83.44145202636719,67.64720153808594,43.53927230834961,30.97637176513672,127.33175659179688,96.54550170898438
2021-12-14,40.41371154785156,73.06413269042969,23.905481338500977,36.22399139404297,96.90493774414062,82.07074737548828,67.69219207763672,43.058895111083984,30.790508270263672,126.81620788574219,95.9847183227539
2021-12-15,40.50129318237305,73.83222961425781,23.789020538330078,36.326534271240234,97.74946594238281,84.24542236328125,68.3762435913086,43.69647216796875,31.294979095458984,129.4125518798828,97.20295715332031
2021-12-16,40.916107177734375,73.72660064697266,23.939992904663086,36.783294677734375,97.79638671875,81.857666015625,68.86225891113281,43.862430572509766,31.45429229736328,130.1811065673828,95.0565414428711
2021-12-17,40.40449142456055,73.42898559570312,23.452571868896484,35.9723014831543,96.12608337402344,81.31036376953125,67.68317413330078,43.71395492553711,30.98078727722168,129.27195739746094,94.40874481201172
2021-12-20,39.68273162841797,72.91619873046875,23.162004470825195,35.27357864379883,94.58607482910156,80.34324645996094,67.70313262939453,43.427669525146484,31.010225296020508,128.4891357421875,92.88463592529297
2021-12-21,40.183048248291016,74.30157470703125,23.8217830657959,36.00414276123047,96.46987915039062,82.37645721435547,67.61251831054688,43.67431640625,30.96563148498535,129.02545166015625,95.29086303710938
2021-12-22,40.50270462036133,74.484375,23.974706649780273,36.17274475097656,96.74304962158203,83.4537353515625,68.0384292602539,44.10594177246094,31.099435806274414,130.5308380126953,97.02898406982422
2021-12-23,40.910369873046875,75.14822387695312,23.987815856933594,36.360069274902344,97.88275146484375,83.91956329345703,68.19249725341797,43.97380065917969,31.094970703125,131.0671844482422,98.37493133544922
2021-12-27,41.52650451660156,75.87940979003906,24.51214027404785,36.7347297668457,98.9188232421875,85.71984100341797,68.9174575805664,44.872310638427734,31.24660301208496,132.4503173828125,99.33354949951172
2021-12-28,41.767398834228516,75.84092712402344,24.494665145874023,36.75345230102539,99.41803741455078,85.27340698242188,69.30712890625,45.06610107421875,31.527587890625,132.10215759277344,99.37711334228516
2021-12-29,41.93880081176758,75.4656982421875,24.337364196777344,36.70662307739258,99.59700775146484,85.34620666503906,69.6242904663086,45.33917999267578,31.69706153869629,132.85487365722656,99.57562255859375
2021-12-30,41.790557861328125,75.783203125,24.188806533813477,36.641056060791016,99.23908996582031,84.78330993652344,69.40680694580078,45.541778564453125,31.813024520874023,133.12779235839844,99.21733093261719
2021-12-31,41.975868225097656,74.7345199584961,24.249977111816406,36.57549285888672,99.6629409790039,84.37084197998047,69.87803649902344,45.63869094848633,31.924531936645508,132.56321716308594,98.98013305664062
2022-01-03,41.42921829223633,75.25404357910156,25.00151252746582,37.02507781982422,98.8434829711914,85.17151641845703,69.86898803710938,45.21586227416992,31.607866287231445,131.19891357421875,101.82209014892578
2022-01-04,41.93880081176758,75.09048461914062,25.86664581298828,37.999176025390625,100.8309326171875,84.26892852783203,70.34021759033203,45.03968811035156,31.509750366210938,129.46768188476562,101.20237731933594
2022-01-05,41.93416976928711,73.20480346679688,25.862272262573242,37.5589599609375,99.87016296386719,81.67771911621094,70.27678680419922,43.57741165161133,31.491899490356445,128.5455780029297,98.47174072265625
2022-01-06,41.40605545043945,73.53192138671875,26.43903160095215,38.111568450927734,100.33169555664062,81.26525115966797,70.08647155761719,43.6302604675293,31.166324615478516,127.0589370727539,98.21515655517578
2022-01-07,41.368995666503906,73.54154205322266,26.80168914794922,38.5611572265625,100.30342864990234,80.5179443359375,70.1589584350586,43.40123748779297,31.4027156829834,126.40972137451172,96.5787124633789
